,Stablecoin_Market_Cap,ETF_Volume_Proxy,BTC_Realized_Cap,Binance_BTC_OI
2025-01-09 00:00:00,"{'peggedUSD': 208465006768, 'peggedVAR': 92822284, 'peggedEUR': 275625513, 'peggedJPY': 1727603079, 'peggedCNY': 70571, 'peggedUAH': 1046192, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1007532, 'peggedCHF': 9506482, 'peggedAUD': 2510821, 'peggedREAL': 3169697}",2510767147.1824646,,
2025-01-10 00:00:00,"{'peggedUSD': 208242410999, 'peggedVAR': 92808918, 'peggedEUR': 275135987, 'peggedJPY': 1727186194, 'peggedCNY': 70571, 'peggedUAH': 1046192, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1007532, 'peggedCHF': 9470026, 'peggedAUD': 2510821, 'peggedREAL': 3064320}",2368750030.713272,,
2025-01-11 00:00:00,"{'peggedUSD': 208433574740, 'peggedVAR': 92958356, 'peggedEUR': 274185667, 'peggedJPY': 1727186552, 'peggedCNY': 70571, 'peggedUAH': 1046192, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1007532, 'peggedCHF': 9475584, 'peggedAUD': 2510821, 'peggedREAL': 3176327}",2368750030.713272,,
2025-01-12 00:00:00,"{'peggedUSD': 208373918711, 'peggedVAR': 92959889, 'peggedEUR': 273463066, 'peggedJPY': 1727186922, 'peggedCNY': 70571, 'peggedUAH': 1046192, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1007532, 'peggedCHF': 9474584, 'peggedAUD': 2510821, 'peggedREAL': 3200031}",2368750030.713272,,
2025-01-13 00:00:00,"{'peggedUSD': 208638534020, 'peggedVAR': 92958985, 'peggedEUR': 273134358, 'peggedJPY': 1727186709, 'peggedCNY': 70571, 'peggedUAH': 1046192, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1007532, 'peggedCHF': 9455409, 'peggedAUD': 2510821, 'peggedREAL': 3132965}",2387795184.7686768,,
2025-01-14 00:00:00,"{'peggedUSD': 208534524781, 'peggedVAR': 92909341, 'peggedEUR': 277829278, 'peggedJPY': 1726448387, 'peggedCNY': 70571, 'peggedUAH': 1046192, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1007532, 'peggedCHF': 9453989, 'peggedAUD': 2510821, 'peggedREAL': 3103063}",1687272680.3466797,,
2025-01-15 00:00:00,"{'peggedUSD': 208773202690, 'peggedVAR': 92943505, 'peggedEUR': 277181327, 'peggedJPY': 1726445635, 'peggedCNY': 70571, 'peggedUAH': 1046192, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1007532, 'peggedCHF': 9402014, 'peggedAUD': 432702, 'peggedREAL': 3066232}",2385942982.2891235,,
2025-01-16 00:00:00,"{'peggedUSD': 209641613439, 'peggedVAR': 92953883, 'peggedEUR': 277988556, 'peggedJPY': 1726441277, 'peggedCNY': 70571, 'peggedUAH': 1046192, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1007532, 'peggedCHF': 9675530, 'peggedAUD': 432702, 'peggedREAL': 3064981}",2029435325.4241943,,
2025-01-17 00:00:00,"{'peggedUSD': 209843661039, 'peggedVAR': 92939112, 'peggedEUR': 277559691, 'peggedJPY': 1726437652, 'peggedCNY': 70571, 'peggedUAH': 1046192, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1007532, 'peggedCHF': 9339685, 'peggedAUD': 432702, 'peggedREAL': 3115271}",4219074806.4136505,,
2025-01-18 00:00:00,"{'peggedUSD': 211705004594, 'peggedVAR': 92959795, 'peggedEUR': 279504906, 'peggedJPY': 1726439616, 'peggedCNY': 70571, 'peggedUAH': 1046192, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1007532, 'peggedCHF': 9375338, 'peggedAUD': 432702, 'peggedREAL': 3237491}",4219074806.4136505,,
